year,Y,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15
2019,1,1.55,,0.62,0.05,0.06,0.08,3.54,5.1,5.58,1.84,0.14,0.65,1.15,0.53,2.54
2020,1,1.78,1.13,0.57,0.05,0.02,0.05,3.08,4.52,4.61,1.63,0.18,0.72,1.1,0.4,1.63
2021,1,1.89,1.48,0.69,#DIV/0!,0.06,,4.31,5.82,6.08,2.57,0.37,0.58,1.21,0.61,3.19
2022,1,1.96,,0.76,0.07,0.07,0.08,4.61,6.09,5.69,2.82,0.29,0.65,1.37,0.64,3.12
2023,1,2.09,1.72,0.87,0.12,0.11,0.11,4.81,6.05,6.58,2.78,0.5,0.54,1.4,0.72,3.13
2017,1,1.97,1.72,0.86,0.1,0.09,0.07,4.0,6.1,6.47,2.73,0.31,0.58,1.36,0.65,3.14
2018,1,1.72,1.05,0.5,0.02,0.04,0.05,3.1,4.4,5.62,1.67,0.12,0.72,1.02,0.52,2.36
2019,1,1.64,1.21,0.54,0.01,0.04,0.04,3.64,4.83,6.09,1.73,0.0,0.68,1.06,0.51,2.07
2020,1,2.46,1.98,0.88,0.12,0.06,0.07,5.22,5.69,7.44,2.83,0.47,0.53,1.6,0.7,4.0
2021,1,1.55,0.78,0.56,0.06,0.01,0.05,3.08,4.46,5.22,1.8,0.08,0.68,0.98,0.49,1.58
2022,1,1.7,1.3,,0.03,0.09,0.05,3.83,5.11,6.36,2.61,0.2,0.66,1.12,0.6,3.2
2023,1,2.31,2.04,0.85,0.09,0.1,,4.87,6.24,7.51,2.77,0.42,0.52,1.39,0.69,3.24
2017,1,1.96,1.36,0.63,0.11,0.03,0.07,3.92,5.1,6.7,2.24,0.27,0.66,1.18,0.61,2.96
2018,1,1.56,1.31,0.57,0.08,0.03,0.07,3.3,4.38,5.04,1.92,0.22,0.69,1.07,0.44,2.47
2019,1,1.78,1.28,0.56,0.07,0.05,0.06,3.51,4.61,5.22,2.21,0.11,0.69,1.14,0.56,2.51
2020,1,1.33,1.11,0.38,0.02,0.07,0.01,3.18,4.27,5.04,1.74,0.1,0.69,1.09,0.52,2.08
2021,1,2.17,1.6,0.85,0.06,0.06,0.09,3.91,5.66,6.61,2.49,0.27,0.65,1.45,0.72,3.26
2022,1,1.95,1.43,0.65,0.02,0.07,0.07,3.9,5.54,5.75,2.19,0.26,0.6,1.12,0.5,2.93
2023,1,1.69,1.1,0.47,0.02,0.03,0.04,3.37,4.44,5.03,1.77,0.25,0.66,1.03,0.54,2.17
2017,1,2.17,1.74,0.88,0.16,0.07,0.11,5.2,6.49,7.61,3.16,0.4,0.56,1.51,0.66,3.28
2018,1,1.95,1.43,0.7,0.08,0.08,0.1,3.94,5.84,5.99,2.25,0.34,0.6,1.33,0.62,2.99
2019,1,1.97,1.69,0.84,0.03,0.07,0.09,4.47,5.28,6.03,2.33,0.31,0.57,1.28,0.65,3.59
2020,1,1.88,1.71,0.75,0.14,0.06,0.08,5.15,6.29,6.35,2.62,0.26,0.58,1.31,,3.4
2021,1,2.18,1.51,,0.15,0.06,0.1,4.51,5.56,6.2,2.49,0.25,0.62,1.31,0.58,3.17
2022,1,2.05,1.53,0.76,0.13,0.05,0.11,4.49,6.25,6.37,2.24,0.32,0.64,1.25,0.59,3.3
2023,1,1.73,1.33,0.65,0.06,0.05,0.09,3.73,4.91,6.23,2.18,0.19,0.63,1.09,0.55,2.29
2017,1,1.69,1.46,0.65,0.06,0.03,0.07,4.11,5.78,5.85,2.11,0.22,,1.32,0.62,2.96
2018,1,2.02,1.84,0.89,0.06,0.1,0.11,4.12,6.05,7.32,2.81,0.36,0.59,1.34,0.67,3.23
2019,1,1.81,1.38,0.52,0.02,,0.04,4.14,5.02,5.85,2.14,0.17,0.7,1.14,0.53,2.07
2020,1,2.17,1.7,0.74,0.11,0.07,0.08,4.87,5.6,7.42,2.89,0.32,0.63,1.31,0.69,3.33
2021,1,1.39,1.16,0.53,0.05,0.04,0.04,3.14,4.84,5.03,1.95,0.11,0.68,1.22,,2.05
2022,1,2.09,1.44,0.81,0.11,0.05,0.08,4.36,6.34,6.15,2.62,0.2,0.59,1.38,0.63,3.66
2023,1,2.15,1.7,0.79,0.07,0.06,0.09,4.3,5.91,7.03,2.37,0.32,0.61,1.33,0.71,2.91
2017,1,1.93,1.7,0.73,0.07,0.07,0.1,4.25,6.09,6.32,2.53,0.24,0.64,1.25,0.63,2.69
2018,1,2.0,1.62,0.72,0.1,0.06,0.07,3.85,5.82,5.39,2.09,0.21,0.63,1.18,0.62,2.77
2019,1,1.62,1.42,,0.02,0.05,0.06,4.44,,5.45,2.39,0.22,0.61,1.29,0.56,2.98
2020,1,2.03,1.56,0.73,0.06,0.06,0.1,3.95,5.99,6.8,2.29,0.31,0.55,1.42,0.63,3.57
2021,1,2.13,1.85,0.85,0.07,0.08,0.12,5.24,5.8,6.86,2.56,0.4,0.5,1.52,0.75,3.8
2022,1,1.8,1.3,0.63,0.07,0.08,,4.09,5.31,5.58,2.04,0.25,0.63,1.18,0.57,3.24
2023,1,2.13,1.69,0.77,0.1,0.08,0.08,4.38,5.7,6.08,2.49,0.3,0.65,1.27,0.57,3.33
2017,1,1.44,1.21,0.51,0.06,0.0,0.01,3.26,4.85,5.31,1.52,0.19,0.7,1.08,0.43,1.71
2018,1,1.37,1.09,0.42,0.04,0.02,0.02,3.41,4.98,4.73,1.51,0.12,0.72,0.96,0.52,2.01
2019,1,1.73,1.4,0.68,0.1,0.04,0.06,3.69,5.68,5.41,2.27,0.18,0.63,1.3,0.55,2.84
2020,1,1.8,1.52,0.75,0.09,0.07,0.12,4.27,5.94,5.37,2.71,0.29,0.57,1.26,0.63,3.25
2021,1,2.09,1.7,0.77,0.1,0.07,0.11,4.64,6.05,6.21,2.82,0.38,0.59,1.38,0.68,3.26
2022,1,2.12,1.59,0.79,0.13,0.06,0.1,4.84,5.69,7.0,2.71,0.25,0.62,1.31,0.65,3.49
2023,1,2.16,1.54,0.68,0.09,0.07,0.09,3.92,5.8,6.43,2.58,0.28,0.67,1.3,0.59,2.79
2017,1,2.15,1.63,0.83,0.1,0.07,0.1,3.95,5.99,6.57,2.73,0.28,0.59,1.47,0.63,2.88
2018,1,2.52,1.86,0.89,0.1,0.1,,4.95,7.15,7.38,2.87,0.34,0.54,1.56,0.78,3.86
2019,1,2.37,1.61,0.68,0.12,0.08,,4.77,5.46,6.24,2.59,0.27,0.58,1.41,0.64,2.86
2020,1,1.96,1.67,0.74,#DIV/0!,0.08,0.06,4.27,6.93,7.29,2.2,0.29,0.59,1.23,0.72,3.2
2021,1,1.94,1.53,0.73,#DIV/0!,0.08,0.08,3.65,,6.71,2.34,0.39,0.6,1.41,0.58,2.79
2022,1,1.64,1.4,0.64,0.08,0.03,0.04,4.1,5.27,5.55,2.09,0.15,0.63,1.18,0.55,2.59
2023,1,1.8,1.61,0.66,0.06,0.05,0.08,4.06,5.28,5.77,2.38,0.28,0.57,,0.56,2.35
2017,1,1.69,1.33,0.5,0.03,0.04,0.06,3.63,,5.72,2.54,0.27,0.63,1.23,0.59,2.76
2018,1,1.89,1.67,0.76,0.12,0.06,0.09,4.55,5.99,7.16,2.19,0.32,0.58,1.29,0.69,2.99
2019,1,2.16,1.67,0.79,0.09,0.08,0.08,4.08,6.1,6.45,2.09,0.36,0.59,1.24,0.65,3.23
2020,1,1.95,1.43,0.55,0.12,0.05,,4.29,5.82,6.06,2.58,0.22,0.62,1.29,0.65,2.42
2021,1,1.68,1.29,0.68,0.09,0.04,0.06,3.75,5.88,6.31,2.33,0.18,0.57,1.29,0.64,2.31
2022,1,1.6,1.39,0.68,0.03,0.05,0.06,3.67,5.1,5.58,2.17,0.19,0.66,1.14,0.57,2.5
2023,1,2.35,1.55,0.76,0.14,0.05,0.05,4.57,6.31,5.81,2.48,0.26,0.59,1.34,0.69,2.89
2017,1,2.42,1.65,0.78,0.13,0.04,0.09,4.7,6.42,5.89,2.36,0.19,0.6,1.38,0.71,3.31
2018,1,2.51,1.73,0.99,0.09,0.1,0.12,4.54,6.78,8.06,2.91,0.41,0.49,1.61,0.72,4.32
2019,1,2.33,1.59,0.75,0.04,0.1,0.08,4.66,6.15,7.37,2.83,0.4,0.53,1.46,0.72,3.64
2020,1,1.36,0.98,0.52,0.09,0.02,0.01,3.86,5.62,5.56,1.93,0.16,0.71,1.11,0.49,2.0
2021,1,1.97,1.62,0.73,0.11,0.08,0.09,4.26,5.68,,2.53,0.28,0.61,1.25,0.63,2.91
2022,1,2.16,1.67,0.84,0.06,0.07,0.09,4.2,,7.64,2.45,0.34,0.5,1.36,0.61,3.23
2023,1,2.0,1.58,0.76,0.08,0.08,0.09,4.48,5.66,6.71,2.83,0.34,0.63,1.3,0.66,
2017,1,2.01,1.54,0.73,0.04,0.06,0.06,4.22,5.89,6.27,2.22,0.26,0.67,1.38,0.58,2.87
2018,1,2.23,1.63,0.85,0.09,0.06,0.1,4.64,5.66,6.56,3.03,0.36,0.6,1.43,0.73,3.61
2019,1,2.08,1.86,0.88,0.11,0.1,0.1,5.18,6.31,7.24,2.74,0.32,0.5,1.48,0.75,3.62
2020,1,1.86,1.47,0.59,0.06,0.06,0.05,4.08,5.15,6.2,2.65,0.25,0.58,1.25,0.59,2.6
2021,1,1.82,1.19,0.52,0.05,0.07,0.04,3.73,4.7,5.91,2.17,0.14,0.69,1.04,0.61,2.96
2022,1,1.96,1.63,0.81,0.05,0.09,0.07,4.82,5.57,6.56,2.48,0.24,0.61,1.39,0.66,3.13
2023,1,1.36,1.17,0.55,#DIV/0!,0.02,0.06,2.82,4.6,5.74,1.72,0.11,0.65,1.11,0.45,2.33
2017,1,2.14,1.69,0.81,0.12,0.1,0.1,4.62,5.93,6.56,2.44,0.15,0.55,1.34,,3.38
2018,1,1.67,1.2,0.48,0.08,0.06,0.07,3.82,5.16,5.4,1.96,0.28,0.71,1.14,0.53,2.71
2019,1,1.9,1.5,0.66,0.05,0.09,0.09,4.61,6.08,6.1,2.12,0.26,0.61,1.36,0.6,3.74
2020,1,1.86,1.24,0.59,0.07,0.04,0.06,4.19,5.66,5.73,2.41,0.2,0.69,1.24,0.57,2.64
2021,1,1.91,1.3,0.58,-0.02,0.03,0.04,3.45,,5.94,2.45,0.23,0.57,1.13,0.57,2.62
2022,1,2.27,1.79,0.78,0.05,0.06,0.09,4.58,6.58,7.12,3.03,0.29,0.61,1.45,0.66,3.14
2023,1,2.0,1.27,0.5,0.11,0.06,0.07,3.74,5.29,5.76,2.03,0.22,0.65,1.09,0.55,2.2
2017,1,2.08,1.54,0.75,0.06,0.06,0.13,4.57,5.83,6.99,2.43,0.31,0.51,,0.64,3.1
2018,1,2.02,1.6,0.68,0.06,0.08,0.09,4.23,6.01,6.59,2.59,0.23,0.6,1.37,0.68,2.92
2019,1,1.94,1.45,0.78,0.08,0.05,0.08,4.09,5.89,6.93,2.26,0.31,0.6,1.16,0.65,3.61
2020,1,2.21,1.78,0.96,0.09,0.1,0.09,4.78,6.85,7.07,2.84,0.42,0.52,1.45,0.67,
2021,1,2.16,1.68,0.94,0.09,0.05,0.12,5.07,6.21,6.21,2.71,0.48,,1.47,0.71,3.74
2022,1,1.95,1.56,0.65,0.07,0.04,0.09,4.08,6.26,6.38,2.2,0.21,0.63,1.39,0.66,
2023,1,2.08,1.79,0.89,0.09,0.08,0.08,4.55,5.82,7.31,2.55,0.37,0.59,1.6,0.65,
2017,1,2.07,1.64,0.77,0.09,0.07,0.09,4.63,6.09,6.77,2.52,0.27,0.54,1.29,0.62,3.63
2018,1,2.32,1.71,0.8,0.09,0.07,0.1,5.22,6.03,7.09,2.85,0.41,0.53,1.48,0.71,3.46
2019,1,1.85,1.04,0.53,0.05,0.05,0.05,3.37,4.4,5.44,1.94,0.19,0.67,1.1,0.42,2.02
2020,1,2.34,1.82,0.82,0.14,0.08,0.1,4.34,5.63,6.96,2.86,0.37,0.59,1.37,0.67,3.45
2021,1,1.53,0.93,0.33,0.03,0.03,0.03,3.0,4.79,4.81,1.55,0.21,0.73,1.01,0.34,1.96
2022,1,1.66,1.24,0.72,0.07,0.06,0.08,3.99,5.57,6.13,2.53,0.18,0.58,1.35,0.56,3.02
2023,1,2.31,1.71,0.87,0.11,0.07,0.1,5.26,6.64,7.13,2.87,0.4,0.52,1.54,0.64,3.85
2017,1,1.99,1.58,0.68,#DIV/0!,0.08,0.09,3.96,6.31,6.07,2.39,0.35,0.65,1.23,0.62,2.9
2018,1,2.24,1.67,0.79,0.07,0.09,0.08,5.17,5.87,7.36,2.88,0.39,0.62,1.38,0.67,3.47
2019,1,2.05,1.37,0.63,0.06,0.04,0.09,4.29,5.96,6.16,2.26,0.22,0.66,1.24,0.56,3.11
2020,1,1.93,1.65,0.75,0.04,0.05,0.08,4.02,5.95,6.34,2.33,0.33,0.57,1.25,0.61,2.93
2021,1,1.59,1.05,0.45,0.01,0.02,0.06,3.38,,5.64,1.91,0.06,0.66,1.11,0.47,2.34
2022,1,1.84,1.66,0.78,0.09,0.04,0.07,4.41,5.93,6.07,2.3,0.25,0.59,1.25,0.58,2.98
2023,1,1.98,1.54,0.65,0.06,0.07,0.1,4.63,6.63,,2.45,0.25,0.58,1.28,0.63,3.35
2017,1,2.03,1.38,0.64,#DIV/0!,0.06,0.05,4.25,5.18,7.31,1.98,0.28,0.57,1.33,0.58,3.21
2018,1,2.0,1.78,0.66,0.1,0.06,0.08,5.0,5.74,6.75,2.42,0.38,0.59,1.41,0.7,3.25
2019,1,2.25,1.67,0.73,0.1,0.08,0.09,4.68,6.13,6.3,2.72,0.38,0.56,1.52,0.66,
2020,1,2.29,2.0,0.92,0.1,0.08,0.13,5.15,6.52,7.34,2.95,0.42,0.53,1.4,0.74,3.57
2021,1,2.54,1.82,0.83,0.12,0.08,0.11,4.53,6.08,7.57,2.57,0.37,0.56,1.55,0.68,3.79
2022,1,1.99,1.52,0.73,0.08,0.07,0.08,4.0,,5.46,2.26,0.29,0.62,1.3,0.58,3.56
2023,1,2.42,2.08,0.96,0.13,0.09,0.09,4.9,6.78,6.94,3.01,0.37,0.51,1.56,0.71,3.94
2017,1,2.26,,0.63,#DIV/0!,0.08,0.1,4.79,5.35,7.13,3.01,0.26,0.57,1.37,0.66,3.41
2018,1,1.75,1.44,0.59,#DIV/0!,0.06,0.04,3.72,5.26,6.01,2.28,0.28,0.63,1.25,0.56,2.81
2019,1,2.15,1.67,0.79,0.13,0.09,0.13,4.72,6.8,6.91,2.61,0.32,0.56,1.37,0.63,3.22
2020,1,2.2,1.77,0.84,0.07,0.07,0.13,,6.39,6.77,2.66,0.4,0.52,1.54,0.61,3.36
2021,0,0.95,0.54,0.22,-0.06,,-0.01,2.55,3.15,3.77,1.29,-0.09,0.76,0.83,0.36,1.17
2022,0,1.12,0.67,0.35,0.0,0.01,0.01,2.52,4.13,4.28,1.29,-0.03,,0.89,0.33,1.36
2023,0,1.08,0.7,0.21,-0.01,0.01,-0.01,2.33,,3.52,1.37,-0.14,0.82,0.68,0.3,0.77
2017,1,1.88,1.42,0.67,0.07,0.05,0.04,3.95,5.32,5.98,2.29,0.21,0.61,1.26,0.54,2.6
2018,1,2.0,1.65,0.68,0.06,0.08,0.05,4.09,6.36,6.32,2.44,0.24,0.64,1.33,0.52,2.85
2019,1,2.21,1.59,0.77,0.13,0.09,0.09,4.18,,6.93,2.24,0.36,0.53,1.27,,2.8
2020,1,1.83,1.57,0.71,0.06,0.08,0.08,4.03,5.73,5.9,2.33,0.39,0.55,1.23,0.59,2.88
2021,1,1.7,1.46,0.68,0.04,0.06,0.08,3.86,5.93,6.64,2.55,0.22,0.59,1.25,0.58,2.84
2022,1,2.26,1.98,0.88,0.07,0.08,0.11,4.85,5.73,6.98,2.77,0.36,0.49,1.41,0.71,3.37
2023,1,1.76,1.4,0.62,0.04,0.08,0.04,4.08,5.89,6.11,,0.24,0.67,1.15,0.65,2.71
2017,1,1.92,1.46,0.68,0.08,0.06,0.07,4.68,5.99,6.07,2.38,0.28,0.61,1.27,0.6,2.9
2018,1,1.22,1.36,0.51,0.09,0.03,0.03,2.97,4.62,5.61,1.83,0.06,0.71,1.13,0.46,2.09
2019,1,1.38,1.16,0.46,0.03,0.07,0.03,3.06,4.51,4.61,2.1,0.09,0.65,0.98,0.41,2.25
2020,1,1.76,1.48,0.62,0.04,0.06,0.05,3.82,5.09,5.16,2.34,0.27,0.63,1.21,0.47,2.62
2021,1,1.79,1.27,0.64,#DIV/0!,0.03,0.06,3.77,5.29,6.02,2.39,0.15,0.59,1.18,0.56,2.77
2022,1,2.0,1.54,0.78,0.06,0.06,0.09,3.67,6.12,6.9,2.39,,0.64,1.25,0.6,2.99
2023,1,2.19,1.78,0.78,0.06,0.06,0.09,4.64,6.34,7.04,2.66,0.29,0.59,1.29,0.62,3.41
2017,1,1.82,1.22,0.58,0.05,0.05,0.08,4.07,5.3,6.28,2.07,0.27,0.62,1.2,0.57,2.65
2018,1,1.57,1.27,0.58,0.03,0.03,0.05,3.42,4.89,5.02,1.78,0.14,0.71,1.12,0.46,1.95
2019,1,2.08,1.56,0.72,0.06,0.05,0.08,4.04,,6.27,2.19,0.31,0.65,1.36,0.62,3.12
2020,1,1.55,0.95,0.36,0.03,0.02,0.04,3.51,4.95,5.31,1.55,0.09,0.7,1.04,0.42,2.01
2021,1,2.05,,0.83,0.06,0.06,0.09,4.89,6.15,6.97,2.31,0.35,0.55,1.38,0.56,
2022,1,1.25,0.97,0.5,-0.0,0.02,0.02,2.92,4.54,4.2,1.39,0.04,0.71,0.91,0.41,1.86
2023,1,1.79,1.38,0.64,0.08,0.03,0.07,3.52,5.51,5.98,2.14,0.22,0.64,1.26,0.59,2.88
2017,1,1.99,1.22,0.57,0.06,0.07,0.06,4.21,5.03,6.09,2.35,0.29,0.61,1.23,0.51,2.78
2018,1,1.6,1.1,0.42,0.08,0.03,0.03,3.35,5.48,5.89,1.88,0.21,0.64,1.13,0.47,2.43
2019,1,1.57,1.15,0.58,0.02,0.03,0.07,3.79,4.58,5.9,2.04,0.26,0.71,1.03,0.55,2.89
2020,1,2.37,1.49,0.78,0.13,0.07,0.11,4.76,5.86,6.93,2.69,0.39,0.52,1.46,0.68,3.05
2021,1,1.57,1.3,0.63,0.09,0.05,0.05,4.22,5.87,,2.25,0.1,0.62,1.35,0.57,2.44
2022,1,1.74,1.17,0.61,#DIV/0!,0.04,0.05,3.52,4.59,6.33,2.05,0.13,0.65,1.18,0.5,
2023,1,1.5,1.28,0.55,0.06,0.01,0.04,3.91,4.82,5.35,1.91,0.26,0.65,1.14,0.5,2.0
2017,1,1.97,1.41,0.63,0.03,0.05,,3.73,5.26,6.27,2.76,0.21,0.59,1.31,0.62,2.76
2018,0,1.14,0.67,0.29,0.0,0.03,0.02,2.59,3.94,4.45,1.28,0.05,0.75,0.89,0.3,1.08
2019,1,1.97,1.54,0.67,0.05,0.07,0.08,3.43,6.25,6.49,2.26,0.3,0.63,1.29,0.55,2.94
2020,1,1.94,1.35,0.83,0.11,0.06,0.1,3.76,6.01,6.17,2.77,0.33,0.6,1.26,0.59,3.28
2021,1,1.95,1.57,0.57,0.05,0.01,0.03,3.83,5.1,5.85,1.93,0.22,0.56,1.11,0.55,2.96
2022,1,1.87,1.41,0.62,0.06,0.05,0.1,4.05,5.77,5.52,2.46,0.31,0.56,1.2,0.56,2.87
2023,1,1.72,1.23,0.59,0.06,0.05,0.06,3.84,5.8,6.27,2.06,0.26,0.67,1.14,0.54,2.74
2017,0,1.78,1.15,0.51,-0.0,0.03,0.05,3.06,5.51,5.2,1.91,0.18,0.72,1.1,0.44,2.39
2018,0,0.94,0.75,0.28,-0.06,0.02,,2.65,3.42,3.81,1.75,-0.12,,1.01,0.46,1.9
2019,0,1.84,1.43,0.62,0.04,0.03,0.04,3.47,,5.66,2.01,0.11,0.61,1.16,0.48,3.29
2020,0,1.66,1.17,0.53,0.01,0.05,,4.17,5.19,6.33,1.84,0.17,0.69,1.17,0.51,
2021,1,1.7,1.33,0.69,0.08,0.04,0.03,4.12,5.66,5.4,2.06,0.27,0.66,1.04,0.5,2.78
2022,1,1.93,1.37,0.67,0.1,0.07,0.07,3.7,5.26,6.15,2.33,0.3,0.6,,0.52,2.7
2023,1,1.87,1.52,0.67,0.09,0.05,0.08,,6.04,5.7,2.26,0.19,0.59,1.24,0.49,2.96
2017,0,1.29,0.94,0.39,0.01,0.02,0.05,3.31,3.58,4.72,1.54,0.14,0.73,0.96,0.38,1.98
2018,0,0.81,0.8,0.26,-0.04,0.02,0.01,2.12,3.36,3.34,0.93,0.04,0.76,0.68,0.33,1.57
2019,0,1.57,1.13,0.6,0.05,0.05,0.04,3.4,5.14,4.65,1.55,0.24,0.64,1.13,,2.68
2020,0,0.92,0.65,0.34,-0.03,0.02,0.02,2.24,4.53,4.16,1.34,0.06,0.75,0.94,0.32,1.81
2021,0,1.32,1.11,0.52,0.05,,0.05,3.17,5.16,5.51,1.8,0.26,0.67,1.04,0.49,2.65
2022,0,1.74,1.25,0.56,0.01,0.04,0.05,3.9,5.15,5.44,1.9,0.2,0.57,1.15,0.59,2.56
2023,0,1.36,1.04,0.38,-0.03,0.0,0.03,3.35,3.63,4.35,1.53,-0.03,0.72,0.99,0.44,1.75
2017,1,1.76,1.31,0.57,0.04,0.04,0.04,3.65,4.57,5.83,1.96,0.13,0.62,1.12,0.51,2.31
2018,1,2.34,1.62,0.76,0.05,0.09,0.09,4.46,6.15,6.79,2.54,0.4,0.52,1.37,0.66,3.16
2019,1,2.2,1.88,,0.09,0.1,,,5.63,6.73,2.73,0.38,0.55,1.35,,3.2
2020,1,1.5,1.27,0.42,-0.02,0.04,0.06,3.75,4.5,4.92,1.79,0.14,0.66,1.1,0.55,2.3
2021,1,1.99,1.42,0.64,0.04,0.06,0.06,3.82,5.8,5.95,2.12,0.2,0.65,1.25,,2.96
2022,1,1.26,0.92,0.42,#DIV/0!,-0.0,0.01,3.1,4.11,4.93,1.29,0.11,0.74,0.91,0.45,1.81
2023,1,1.99,1.57,0.71,0.05,0.05,0.1,4.28,5.94,6.66,2.21,0.26,0.63,1.22,0.58,2.86
2017,0,1.73,1.15,0.59,0.05,0.05,0.02,3.56,4.6,5.13,2.09,0.17,0.64,1.08,0.58,2.53
2018,0,0.64,0.37,0.18,-0.05,-0.0,-0.03,2.2,3.18,3.27,1.09,-0.03,0.82,0.77,0.32,0.74
2019,0,1.68,1.05,0.46,0.0,0.02,0.05,3.61,5.47,5.47,1.64,0.22,0.7,1.07,0.52,2.8
2020,0,0.99,0.62,0.34,0.01,0.01,0.01,2.72,3.64,3.97,1.17,-0.03,0.78,0.84,0.33,1.16
2021,0,1.49,0.97,0.47,-0.0,0.03,0.02,2.91,4.47,4.95,1.82,0.03,,1.0,0.48,2.21
2022,0,0.56,0.43,0.17,-0.01,-0.02,-0.02,1.94,3.09,3.2,1.04,0.01,0.78,0.74,0.29,0.37
2023,0,1.32,1.01,0.36,-0.02,0.02,0.03,2.81,4.7,4.05,1.65,0.09,0.77,0.89,0.44,1.96
2017,0,1.18,0.56,0.26,-0.03,0.03,0.0,2.32,3.81,,1.16,0.05,0.67,0.77,0.32,1.79
2018,0,1.1,0.73,0.27,#DIV/0!,0.02,-0.0,2.52,3.94,3.64,1.05,0.14,0.75,0.93,0.33,1.23
2019,0,0.84,0.76,0.27,-0.02,0.03,0.04,2.37,3.1,4.5,0.97,0.02,0.77,0.81,0.38,1.09
2020,0,0.71,0.8,0.38,-0.05,0.01,0.02,,,4.51,1.45,0.03,0.76,0.9,0.3,1.71
2021,0,0.83,0.8,0.31,-0.02,0.0,0.04,2.85,3.77,3.9,1.51,0.02,0.75,0.79,0.37,1.63
2022,0,1.16,0.96,0.47,#DIV/0!,0.01,0.0,2.96,4.75,5.18,1.57,0.16,0.74,1.08,0.43,2.08
2023,0,1.52,1.21,0.62,-0.0,0.04,0.06,3.55,4.72,5.27,2.02,0.09,0.67,1.16,0.49,2.0
2017,0,0.89,0.69,0.21,-0.01,-0.0,-0.03,1.87,3.89,3.26,0.99,0.02,0.76,0.71,0.29,1.03
2018,0,0.86,0.64,0.24,-0.0,-0.01,0.0,1.99,4.05,3.6,0.83,0.13,0.78,0.77,0.23,1.14
2019,0,1.79,1.35,0.59,0.07,0.05,0.06,3.81,4.03,5.66,2.07,0.31,0.62,1.15,0.59,2.7
2020,0,1.12,0.93,0.35,-0.02,0.02,0.01,2.64,4.39,4.36,1.81,0.09,0.72,0.84,0.33,1.77
2021,0,1.03,0.45,0.25,-0.02,-0.0,-0.01,2.47,3.5,3.81,1.1,-0.04,0.76,0.75,0.27,1.11
2022,0,1.2,0.82,0.39,0.08,0.03,0.05,3.18,4.17,4.67,1.71,0.09,0.72,1.05,0.43,1.45
2023,0,1.01,0.95,0.3,-0.03,0.03,0.02,2.7,3.57,4.57,1.11,0.07,0.77,0.94,0.26,1.29
2017,1,2.31,1.69,0.87,0.1,0.09,0.11,4.93,6.84,7.07,2.92,0.4,0.54,1.46,0.65,3.6
2018,1,2.02,,0.72,0.11,0.06,0.07,3.82,6.07,6.44,2.57,0.4,0.56,1.24,0.58,2.58
2019,1,2.1,1.5,0.77,0.09,0.06,0.07,4.57,6.0,6.76,2.14,0.16,0.59,1.26,0.56,2.9
2020,1,,1.1,0.58,0.04,0.01,0.04,3.93,5.11,5.2,2.14,0.18,0.73,1.08,0.48,2.55
2021,1,1.98,1.5,0.61,0.12,,0.06,3.84,5.66,6.9,2.4,0.3,0.62,1.25,0.6,3.21
2022,1,1.53,0.85,0.52,0.03,0.02,0.03,3.35,4.29,5.09,1.58,0.0,0.72,1.19,0.47,2.05
2023,1,1.76,1.14,0.55,0.09,0.05,0.06,3.6,5.05,,1.99,0.22,0.65,1.14,0.49,2.29
2017,1,2.09,1.53,0.75,0.05,0.07,0.09,4.73,6.38,6.52,2.92,0.26,0.53,1.26,0.59,3.42
2018,1,2.12,1.64,0.83,0.11,0.07,0.11,5.06,5.98,7.26,2.89,0.37,0.54,1.35,0.72,3.63
2019,1,2.01,1.45,0.73,0.11,0.07,0.06,4.04,5.71,5.89,2.6,0.29,0.6,1.22,0.56,3.09
2020,1,2.2,1.55,0.84,0.1,0.07,0.08,4.49,5.66,7.09,2.61,0.38,0.49,1.35,0.65,3.25
2021,1,2.24,1.6,0.65,0.02,0.09,0.07,4.29,5.25,6.72,2.43,0.2,0.55,1.25,0.6,3.03
2022,1,1.6,1.06,0.54,0.03,0.04,0.01,3.69,4.38,5.79,2.17,0.07,0.71,1.11,0.55,2.64
2023,1,1.25,1.14,0.54,0.11,0.05,0.02,3.27,,4.7,1.5,0.1,0.67,0.97,0.42,2.22
2017,1,1.62,0.86,0.54,#DIV/0!,0.02,0.02,3.6,5.21,4.86,1.87,0.18,0.72,1.04,0.44,2.18
2018,1,1.95,1.76,0.73,0.07,0.07,0.07,4.3,5.63,6.15,2.59,0.2,0.66,1.32,0.69,3.33
2019,1,1.69,1.35,0.77,#DIV/0!,0.06,0.05,3.98,5.3,6.43,2.42,0.31,0.63,1.36,0.6,2.42
2020,1,2.19,1.6,0.82,0.08,0.09,0.11,4.57,6.3,7.37,2.89,0.32,0.51,1.6,0.69,3.97
2021,1,1.76,1.36,0.64,0.04,0.07,0.1,3.32,5.84,6.93,2.24,0.21,0.61,1.19,0.58,2.64
2022,1,2.07,1.96,0.83,0.08,,0.08,4.36,6.02,6.73,2.35,0.41,0.6,1.5,0.67,3.57
2023,1,1.5,1.16,0.54,0.04,0.03,0.05,3.43,4.76,4.84,1.62,0.16,0.7,1.02,0.52,2.76
2017,1,2.59,1.93,0.93,0.09,0.11,0.12,4.85,6.57,7.21,3.23,0.39,0.53,1.55,0.81,4.05
